AC,CB,G,Weight,Average Thickness,Apparent Density ,Surface Area,Conductivity,Max Current,Capacity,Water Uptake,Electrolyte Uptake,Normalize Surface Area,Normalized Max Current,Normalized Capacity,Normalized Water Uptake,Normalized Electrolyte Uptake
16,32,52,0.049666667,0.041503333,1.956512,173.95804,0.57219607,8.106,6.35,22.73730684,21.20805369,4191.423339,173.3564999,157.960199,550.5401173,587.4807117
26,46,28,0.059133333,0.045483333,1.792628,279.02356,0.326878777,3.155,2.42,31.15124153,22.66065389,6134.633052,68.43383177,52.89617486,703.1882965,479.0835917
70,15,15,0.054,0.045056667,1.02209,706.33405,0.068915048,2.24,0.14,32.41706161,28.24074074,15676.57135,47.74236415,2.828282828,726.8399464,683.7951753
60,10,30,0.055333333,0.04256,1.19078,604.6681,0.10922822,2.3235,0,29.09090909,26.6064257,14207.42716,55.68914178,0,742.1150278,641.1186916
25,7,68,0.04655,0.038793333,1.788938,254.31436,0.297051661,4.1225,4.72,27.44886975,22.66380236,6555.62021,114.2945117,115.1219512,852.4493712,634.8404023
50,32,18,0.05045,0.045716667,1.373888,513.20086,0.179882801,2.285,0.15,24.055666,24.18235877,11225.68414,52.06504133,2.985074627,549.2161188,533.8269044
50,18,32,0.0501,0.045988889,1.366412,507.91264,0.142248486,3.1325,0.275,27.65151515,25.5489022,11044.24682,67.14079842,6.080441188,617.2213203,608.3071951
18,72,10,0.059222222,0.045378788,1.9436,209.0227,0.88974448,11.504,17.19,21.09090909,21.01313321,4606.176361,236.5783544,360.0910121,479.338843,507.5636041
13,12,75,0.05065,0.037674359,1.99724,136.47025,0.435523323,7.5125,5.385,22.3671013,19.74333662,3622.364221,197.6574928,148.0380628,541.5763028,475.7430512
81,15,4,0.0403,0.042747222,0.833594,816.08908,0.026984995,0.778,0,34.48673587,31.01736973,19091.04352,18.30068547,0,862.1683968,758.370898
65,30,5,0.05045,0.050491667,1.11578,662.11135,0.070698588,2.1945,0.1,26.94552529,27.35381566,13113.27975,46.05388556,1.936108422,572.0918321,592.073932
30,60,10,0.04645,0.046477778,1.73156,324.2227,0.378806446,4.641,4.42,19.22330097,21.20559742,6975.864929,104.8131312,101.0285714,411.6338538,474.3981525
39,39,22,0.05105,0.045979487,1.566122,406.08994,0.243819366,3.0415,0.27,20.97560976,21.93927522,8831.980627,63.63661629,6.053811659,492.3852055,487.5394493
6,7,87,0.04725,0.0501,2.114522,64.73749,0.553907602,5.49,6.59,21.80595581,22.22222222,1292.165469,145.9639446,166.6277576,584.6100754,542.0054201
54,5,41,0.06235,0.049297222,1.290926,542.91307,0.097019189,2.411,0.44,26.5625,27.50601443,11013.05602,48.9785632,9.272918862,560.3902954,522.9280311
3,36,61,0.0584,0.0504,2.181416,45.75847,0.732222787,7.837,9.545,19.31914894,19.00684932,907.9061508,158.0004057,197.3726274,432.1957256,365.516333
30,70,0,0.06415,0.054433333,1.7369,328,0.632911924,4.471,15.05,19.38046068,20.9664848,6025.719535,84.09104613,277.4193548,376.3196249,407.9082646
100,0,0,0.087066667,0.055953333,0.5,1000,0.018843742,1.001,0,37.3502994,32.77182236,17872.03622,18.12231013,0,570.2335786,531.1478502
0,100,0,0.068666667,0.046225,2.267,40,1.150285708,17.19975,15.56,22.13570634,20,865.3326122,468.4311927,299.1597332,460.201795,414.0786749
0,0,100,0.06315,0.033163636,2.2136,2.227,0.424388502,5.155,3.315,27.67605634,21.85273159,67.15186404,149.8567935,92.20969089,525.1623594,519.0672587
0,50,50,0.047833333,0.036947222,2.2403,21.1135,0.990469739,4.912,5.06,16.95652174,16.60859466,571.4502669,142.3091723,137.5991562,471.0144928,461.3498516
20,60,20,0.0467,0.042175,1.90292,224.4454,0.716875287,4.927,8.605,18.19066148,18.52248394,5321.764078,128.2047078,184.4910389,482.5109146,482.3563526
22,20,58,0.05045,0.040705128,1.847288,229.29166,0.379107025,3.248,2.195,20,22.69573835,5632.991962,81.16812554,55.222726,443.45898,563.1696862
0,70,30,0.0706,0.05307,2.25098,28.6681,1.689218093,17.79975,20.11,16.46811493,17.28045326,540.1940833,238.4198396,356.2378793,326.1012857,331.0431659
0,30,70,0.0684,0.050863333,2.22962,13.5589,1.049428723,10.002,13.785,16.84470008,17.90935673,266.575136,200.6607995,275.5867783,368.5929996,379.4355238
