AC,CB,G,MnO2,Pour Density,Apparent Density,KOH,Conductivity,Max Current,Capacity
20,20,60,0,0.460986047,1.88156,6,1.811520979,3.532205882,0.15
45,15,40,0,0.519501163,1.45049,6,0.238737022,1.931617647,0.055
20,55,25,0,0.520217442,1.90025,6,1.043711592,2.625147059,0.13
10,35,55,0,0.459580233,2.06093,6,1.613304778,3.317205882,0.075
100,0,0,0,0.641465116,0.5,6,0.043541527,0.73,0
0,100,0,0,0.542790698,2.267,6,1.128502904,2.292941176,0.02
0,0,100,0,0.37355814,2.2136,6,0.741020452,0.980588235,0.005
10,85,5,0,0.544196512,2.08763,6,1.64703924,4.0825,0.135
15,70,15,0,0.532206977,1.99394,6,1.661495441,4.118382353,0.15
0,70,30,0,0.49202093,2.25098,6,2.83625654,2.03,0.015
0,30,70,0,0.424327907,2.22962,6,3.872890985,1.725441176,0.01
55,35,10,0,0.580138372,1.28981,6,0.513566896,3.137205882,0.22
