AC,CB,G,Weight,Average Thickness,Apparent Density ,Surface Area,Conductivity,Max Current,Capacity,Water Uptake,Electrolyte Uptake,Normalized Max Current,Normalized Capacity,Normalized Water Uptake,Normalized Electrolyte Uptake
50,18,32,0.0501,0.043336364,1.366412,507.91264,0.142248486,3.1325,0.275,27.65151515,25.5489022,67.14079842,6.080441188,617.2213203,608.3071951
18,72,10,0.059222222,0.046636667,1.9436,209.0227,0.88974448,11.504,17.19,21.09090909,21.01313321,236.5783544,360.0910121,479.338843,507.5636041
13,12,75,0.05065,0.039763333,1.99724,136.47025,0.435523323,7.5125,5.385,22.3671013,19.74333662,197.6574928,148.0380628,541.5763028,475.7430512
81,15,4,0.0403,0.044826667,0.833594,816.08908,0.026984995,0.778,0,34.48673587,31.01736973,18.30068547,0,862.1683968,758.370898
65,30,5,0.05045,0.044694444,1.11578,662.11135,0.070698588,2.1945,0.1,26.94552529,27.35381566,46.05388556,1.936108422,572.0918321,592.073932
30,60,10,0.04645,0.041251515,1.73156,324.2227,0.378806446,4.641,4.42,19.22330097,21.20559742,104.8131312,101.0285714,411.6338538,474.3981525
39,39,22,0.05105,0.043954545,1.566122,406.08994,0.243819366,3.0415,0.27,20.97560976,21.93927522,63.63661629,6.053811659,492.3852055,487.5394493
6,7,87,0.04725,0.042325641,2.114522,64.73749,0.553907602,5.49,6.59,21.80595581,22.22222222,145.9639446,166.6277576,584.6100754,542.0054201
54,5,41,0.06235,0.0432,1.290926,542.91307,0.097019189,2.411,0.44,26.5625,27.50601443,48.9785632,9.272918862,560.3902954,522.9280311
3,36,61,0.0584,0.044384848,2.181416,45.75847,0.732222787,7.837,9.545,19.31914894,19.00684932,158.0004057,197.3726274,432.1957256,365.516333
30,70,0,0.06415,0.049483333,1.7369,328,0.632911924,4.471,15.05,19.38046068,20.9664848,84.09104613,277.4193548,376.3196249,407.9082646
100,0,0,0.087066667,0.047794872,0.5,1000,0.018843742,1.001,0,37.3502994,32.77182236,18.12231013,0,570.2335786,531.1478502
0,100,0,0.068666667,0.057233333,2.267,40,1.150285708,17.19975,15.56,22.13570634,20,468.4311927,299.1597332,460.201795,414.0786749
0,0,100,0.06315,0.033184615,2.2136,2.227,0.424388502,5.155,3.315,27.67605634,21.85273159,149.8567935,92.20969089,525.1623594,519.0672587
0,50,50,0.047833333,0.043196667,2.2403,21.1135,0.990469739,4.912,5.06,16.95652174,16.60859466,142.3091723,137.5991562,471.0144928,461.3498516
20,60,20,0.0467,0.0575,1.90292,224.4454,0.716875287,4.927,8.605,18.19066148,18.52248394,128.2047078,184.4910389,482.5109146,482.3563526
22,20,58,0.05045,0.045158333,1.847288,229.29166,0.379107025,3.248,2.195,20,22.69573835,81.16812554,55.222726,443.45898,563.1696862
0,70,30,0.0706,0.049246667,2.25098,28.6681,1.689218093,17.79975,20.11,16.46811493,17.28045326,238.4198396,356.2378793,326.1012857,331.0431659
0,30,70,0.0684,0.043477778,2.22962,13.5589,1.049428723,10.002,13.785,16.84470008,17.90935673,200.6607995,275.5867783,368.5929996,379.4355238
